config_id,budget,performance,agent.alpha,agent.gamma,policy.epsilon
0,10000,8.64,3.14891165e-05,0.2388351230992,0.069555269581
1,10000,30.45,5.4152441e-06,0.6445490763029,0.7959171633234
2,10000,13.04,0.000269264691,0.8194736398237,0.1659363231025
3,10000,21.26,0.0004467752818,0.9629303187105,0.925780523272
4,10000,28.41,3.5868165e-05,0.5829995140108,0.7836325308318
5,10000,15.48,0.0008241925265,0.8681620490293,0.3589241559254
6,10000,10.18,3.0086868e-06,0.5394780807643,0.0798577264024
7,10000,24.19,9.9350239e-06,0.3578787930933,0.8778875606783
8,10000,11.95,0.0016973078532,0.4801259318774,0.4465404529913
9,10000,8.67,1.96250932e-05,0.9565780924985,0.0850425999868
10,10000,52.48,0.0042959927905,0.3154291916452,0.3993939760833
11,10000,7.53,0.0021938654178,0.7030322820396,0.2156481075547
12,10000,8.0,2.31347816e-05,0.6873858009704,0.1384476294156
13,10000,8.78,2.49366608e-05,0.6714081650773,0.0587371990358
14,10000,32.93,0.0001566517163,0.3111516878722,0.6747322476853
15,10000,30.25,9.4614691e-06,0.8073820601521,0.7363295094984
16,10000,8.26,0.0057787557345,0.9262035207031,0.3297264474661
17,10000,29.75,0.000168734951,0.6473564317623,0.7537301868665
18,10000,24.91,0.0017276056747,0.5463495022716,0.8955050747267
19,10000,15.51,1.3924163e-06,0.1271452224458,0.5461310970521
20,10000,14.46,1.6096331e-06,0.9685083507217,0.4670228496704
21,10000,29.91,0.0006079905434,0.5888117315884,0.751002070861
22,10000,16.93,2.65393764e-05,0.1362486340639,0.517035081361
23,10000,37.21,0.0002906701215,0.5477912701363,0.660298314296
24,10000,10.17,3.57009444e-05,0.4436313476427,0.1457391013086
25,10000,28.87,1.88756763e-05,0.2051666965833,0.8133068838656
26,10000,7.89,0.0091626388296,0.9283740197872,0.1479676753941
27,10000,15.03,0.0038202599364,0.3841891374555,0.4760232458794
28,10000,9.88,0.001466615177,0.5890807052681,0.1858420979502
29,10000,21.84,0.0006366144995,0.1755055655358,0.9498861485147
30,10000,10.92,0.0012840669373,0.5384363428189,0.1616499344382
31,10000,19.82,3.15851045e-05,0.1108174824739,0.9933165563133
32,10000,16.88,0.0003293021396,0.902030629337,0.4828739151464
33,10000,9.84,2.59065101e-05,0.7213639254776,0.2044860923776
34,10000,35.03,0.0002842240239,0.1234666073026,0.6144241795845
35,10000,18.73,7.49501729e-05,0.8234818981258,0.9475274433883
36,10000,15.89,0.0065494391125,0.4187648190492,0.5441553260564
37,10000,36.23,4.11084844e-05,0.7266309936083,0.6104218025119
38,10000,16.88,0.0001137517159,0.9450733550553,0.4861789684263
39,10000,19.92,9.1323485e-06,0.223556183658,0.5002635582497
40,10000,8.67,4.7395843e-06,0.5100931035491,0.087346532849
41,10000,53.65,0.0048249142812,0.2642237072272,0.4004679575913
42,10000,8.64,0.0007135071731,0.4981970064729,0.0690676378888
43,10000,8.11,0.003648456083,0.1773590563978,0.1712012876558
44,10000,7.53,2.65697155e-05,0.2360446338741,0.21470491553
45,10000,28.87,0.0085018701496,0.8271941431449,0.5789247483632
46,10000,30.71,1.97113762e-05,0.6434518377731,0.555959960924
47,10000,21.93,0.0091167685537,0.7766027953018,0.9330526870354
48,10000,9.84,0.0056671124114,0.8492276113149,0.2060525080344
49,10000,25.08,0.0032270237615,0.5117850092459,0.9045958446108
50,10000,11.45,2.9348923e-06,0.8066824184506,0.1940911357461
51,10000,13.01,0.0001903525677,0.1984622458901,0.1924215559813
52,10000,11.44,0.0005967518553,0.9085209995869,0.1956838329603
53,10000,29.28,0.0030796093944,0.7294423845389,0.7496220238435
54,10000,28.43,0.0086969063964,0.5617658708422,0.8127107761681
55,10000,11.95,0.0047799402253,0.2998982924166,0.4479791770293
56,10000,9.88,1.1281785e-06,0.4690154701171,0.113722653519
57,10000,36.53,5.7909642e-06,0.7902195788586,0.5816583147428
58,10000,11.89,3.1134168e-05,0.2389758116559,0.2695210567587
59,10000,14.19,5.1781979e-06,0.7428175693515,0.244735080645
60,10000,34.59,6.7849245e-06,0.8944778228585,0.6107801953891
61,10000,8.62,5.55272437e-05,0.8729364985491,0.0713458429041
62,10000,15.46,3.6093109e-06,0.3423535206022,0.3103524596528
63,10000,46.4,1.1065813e-06,0.634460005786,0.413981601837
64,10000,36.77,2.1438514e-06,0.4165487176538,0.6804876070945
65,10000,26.98,1.1195827e-05,0.3974770628271,0.5207167503959
66,10000,7.63,0.0015763894362,0.1815080452607,0.2258762823967
67,10000,20.48,0.0004316517111,0.2968764032194,0.9289859015449
68,10000,8.67,0.0006161423618,0.5220506528251,0.0851572529797
69,10000,37.81,0.0006097546255,0.5801472502141,0.6350700287732
70,10000,22.9,0.0031536006085,0.412133515752,0.879993258477
71,10000,16.31,0.0008919267853,0.3637142272058,0.4563844770491
72,10000,19.89,0.0013975908789,0.5159873450124,0.9455951854284
73,10000,7.53,5.0829066e-06,0.1514799821414,0.2152004867585
74,10000,24.81,0.0018337177968,0.6162767249757,0.8943106758755
75,10000,8.36,0.0001597458124,0.7438439011828,0.1223243165158
76,10000,33.21,0.0019894080168,0.8819806878561,0.7229448278793
77,10000,29.15,0.0010253368318,0.8349769080026,0.8270686729131
78,10000,20.3,0.0002935672966,0.5805869879471,0.964842403666
79,10000,24.19,0.0056093682107,0.1599420353072,0.8779599658448
80,10000,12.02,0.0010790778643,0.7856626018489,0.4548722371242
81,10000,37.01,7.6397378e-06,0.9462685704029,0.6565996502809
82,10000,24.75,0.0037704815041,0.4279884459141,0.8751920095578
83,10000,14.64,0.0003198020818,0.8089181889688,0.4587906001545
84,10000,31.56,1.19116965e-05,0.1644777301372,0.7102327918202
85,10000,15.3,2.6285771e-06,0.6501586035431,0.5418260612155
86,10000,10.18,3.86984085e-05,0.2781337173779,0.0800068375844
87,10000,37.21,0.00304702835,0.1713022132824,0.6613988104367
88,10000,26.41,9.7367257e-06,0.3998372546763,0.5775953733907
89,10000,12.68,0.0003993031584,0.329337770775,0.4542186677257
90,10000,21.99,0.0029385019584,0.8773466818927,0.9167451783359
91,10000,24.19,3.3594698e-06,0.9645416336971,0.8772124062089
92,10000,10.72,4.5091584e-06,0.38941915716,0.2742479401791
93,10000,17.7,0.0020679187143,0.2486672980318,0.5008993319623
94,10000,14.76,6.6583227e-06,0.9335790661425,0.3503482997279
95,10000,10.18,0.0072522837158,0.5047184715141,0.078474910379
96,10000,31.24,0.0075796331133,0.2576633126082,0.522316025808
97,10000,8.49,0.0052941322017,0.4505393210322,0.0958014369175
98,10000,29.15,0.0001853809246,0.6941581131516,0.8269425053663
99,10000,28.02,2.9231166e-05,0.3114142764782,0.6848021586273
